x,y,des,area,slope,soil,lucl,Pa,Pe,CN
250787.3761,1811238.401,1,208.8883057,0.665199995,1,3,5.381999969,296.0104065,79
250777.3761,1811213.401,1,208.9566956,0.66109997,1,3,5.381599903,295.96521,79
250897.3761,1811338.401,1,262.7336121,0.5546,1,3,5.383399963,296.4262085,79
250932.3761,1811313.401,1,94.39080048,0.396899998,1,3,5.382100105,296.3996887,79
249572.3761,1808523.401,1,201.6374054,0.609499991,1,3,5.366499901,292.311615,79.03540039
249062.3761,1808563.401,1,123.3077011,0.328399986,1,3,5.367099762,292.0737,79
250182.3761,1808453.401,1,206.7384033,0.579999983,1,1,5.357900143,292.9151917,73
250152.3761,1808513.401,1,390.9696045,0.61559999,1,1,5.358500004,292.869812,73
249347.3761,1808228.401,1,263.4544983,0.691699982,1,3,5.366099834,292.4057007,79
249337.3761,1808263.401,1,149.1139984,0.601599991,1,3,5.366300106,292.3714905,79
249292.3761,1809208.401,1,459.6997986,0.575100005,1,3,5.367099762,291.9739075,79
249167.3761,1808303.401,1,321.436615,0.712100029,1,3,5.366700172,292.2731934,79
249232.3761,1809023.401,1,48.37360001,0.289400011,1,3,5.367000103,291.9677124,79
249152.3761,1808348.401,1,105.358902,0.656599998,1,3,5.366799831,292.2478027,79
249282.3761,1808668.401,1,50.92279816,0.640299976,1,3,5.367000103,292.0826111,79
249302.3761,1808523.401,1,61.20510101,0.502300024,1,3,5.366899967,292.1676025,79
249182.3761,1809173.401,1,400.4364929,0.677600026,1,3,5.367000103,291.947998,79
249132.3761,1809118.401,1,514.0040894,0.620999992,1,3,5.367000103,291.931488,79
250122.3761,1809588.401,1,758.5219116,0.645200014,1,3,5.368199825,292.6711121,79
247812.3761,1807453.401,1,138.4700928,0.680199981,1,3,5.363599777,293.4714966,79
248062.3761,1808223.401,1,232.2017059,0.649500012,1,3,5.368899822,292.7495117,79
248147.3761,1808198.401,1,494.4020081,0.68900001,1,3,5.368599892,292.7189941,79
248132.3761,1808213.401,1,403.658905,0.698400021,1,3,5.368700027,292.7138977,79
247937.3761,1808103.401,1,205.3016052,0.67750001,1,3,5.36920023,292.9598999,79
248027.3761,1808118.401,1,350.8514099,0.72420001,1,3,5.368899822,292.8411865,79
248052.3761,1808128.401,1,335.4179993,0.726400018,1,3,5.368800163,292.8168945,79
248037.3761,1808173.401,1,244.9613953,0.61680001,1,3,5.368899822,292.8024902,79
248067.3761,1808288.401,1,222.6947937,0.697399974,1,3,5.368899822,292.6972961,79
249077.3761,1808508.401,1,218.8825989,0.691399992,1,3,5.367000103,292.1028137,79
248172.3761,1808338.401,1,173.9467926,0.674600005,1,3,5.368599892,292.5610046,79
248207.3761,1808368.401,1,313.6512146,0.635900021,1,3,5.368500233,292.5325928,79
248162.3761,1808173.401,1,403.8203125,0.554799974,1,3,5.368500233,292.7236023,79
248137.3761,1808163.401,1,335.3588867,0.602999985,1,3,5.368599892,292.7410889,79
248142.3761,1808158.401,1,322.6838074,0.561500013,1,3,5.368599892,292.7395935,79
247657.3761,1808128.401,1,176.3088989,0.592299998,1,3,5.368899822,293.0714111,78.99420166
248112.3761,1809143.401,1,123.2241974,0.720399976,1,3,5.369400024,292.3146973,79
248087.3761,1809213.401,1,209.7145996,0.737800002,1,3,5.369699955,292.3510132,79
248117.3761,1809233.401,1,585.9951782,0.65259999,1,3,5.369699955,292.3449097,79
251102.3761,1811413.401,1,71.26550293,0.372399986,1,3,5.382100105,296.8218079,79
251032.3761,1811608.401,1,103.8339005,0.615800023,1,3,5.387700081,296.8987122,79
249902.3761,1811338.401,1,337.7720032,0.572899997,1,3,5.399700165,294.865387,79
250062.3761,1810968.401,1,519.5698242,0.735000014,1,3,5.380099773,294.4642944,81.91549683
250057.3761,1811013.401,1,276.7192078,0.624499977,1,1,5.380899906,294.5343018,74.48829651
249087.3761,1808508.401,1,203.2371063,0.6875,1,3,5.367000103,292.1032104,79
249582.3761,1810368.401,1,337.2008057,0.581499994,1,3,5.372099876,293.1323853,79
249782.3761,1810468.401,1,26.77020073,0.151099995,1,1,5.37319994,293.5033875,73
249792.3761,1810378.401,1,184.0209045,0.66170001,1,3,5.372399807,293.3959961,76.15139771
249922.3761,1810438.401,1,187.5957947,0.673799992,1,1,5.372900009,293.6171875,73
250367.3761,1810478.401,1,464.2850952,0.738799989,1,3,5.372300148,294.2171936,82.66459656
250387.3761,1810613.401,1,365.8649902,0.520699978,1,5,5.373799801,294.4320984,78.59960175
250382.3761,1810578.401,1,413.9083862,0.630100012,1,3,5.373600006,294.3937988,78.08429718
249102.3761,1808563.401,1,159.9129944,0.482199997,1,3,5.367000103,292.0856934,79
250362.3761,1810523.401,1,1381.845459,0.622099996,1,3,5.373099804,294.2459106,77.95980072
250647.3761,1810833.401,1,200.6416931,0.461400002,1,5,5.374700069,295.1795959,77.06289673
250397.3761,1812423.401,1,38.9054985,0.398099989,1,6,5.441699982,296.5762024,89.92389679
250387.3761,1812383.401,1,55.71469879,0.381300002,1,3,5.439899921,296.5419922,79
250792.3761,1812208.401,1,236.383606,0.665600002,1,3,5.428199768,296.980896,79
250667.3761,1812788.401,1,64.97360229,0.554899991,1,3,5.458399773,297.0993042,79
251537.3761,1810968.401,1,125.7968979,0.568099976,1,3,5.365600109,297.2163086,80.81719971
251457.3761,1810353.401,1,798.1345825,0.576300025,1,3,5.360300064,296.237915,83.19100189
251427.3761,1810288.401,1,760.5021973,0.681599975,1,3,5.360199928,296.0513916,81.89040375
251442.3761,1810308.401,1,3060.546875,0.685599983,1,3,5.361800194,295.9479065,79.86849976
251162.3761,1810368.401,1,317.6659851,0.607500017,1,3,5.363900185,295.6549988,79
255587.3761,1820743.401,1,539.2675171,0.469900012,3,1,5.413700104,326.2477112,59
246447.3761,1822088.401,1,68.67980194,0.182099998,4,3,6.050600052,287.1144104,75.07479858
246542.3761,1822043.401,1,423.5372925,0.359400004,1,6,6.054200172,286.5835876,73.50029755
247457.3761,1820803.401,1,124.4673996,0.492000014,1,1,6.158199787,273.158905,73
248437.3761,1820888.401,1,118.8336029,0.50120002,1,3,6.214300156,267.5495911,79.34899902
249212.3761,1820723.401,1,265.165802,0.622799993,1,3,6.234399796,265.5976868,78.95310211
249222.3761,1820728.401,1,322.4667969,0.601100028,1,3,6.234200001,265.6142883,78.95629883
249117.3761,1820713.401,1,676.0496216,0.663699985,1,3,6.233699799,265.666687,77.84719849
249117.3761,1820753.401,1,260.3673096,0.461400002,1,3,6.232999802,265.7327881,78.08080292
249067.3761,1820773.401,1,333.7041016,0.409399986,1,3,6.232699871,265.7579041,76.00099945
